Name,Job title,Job department,Job location,Headline,Creation time,Stage,Tags,Source,Type,Summary,Keywords,Educations,Experiences,Skills,Disqualified,Disqualified at,Disqualification category,Disqualification reason,Disqualification note,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3,Question 4,Answer 4,Question 5,Answer 5,Question 6,Answer 6,Question 7,Answer 7
Candidate 38,Senior DevOps Engineer - AWS,Engineering,Mexico,,2024-08-16 9:45:15,Applied,,linkedin.com free,ManualCandidate,,,,Senior Cloud Architect at Repairify (Jun 2024 to N/A)  | Cloud Architect at Solera (Sep 2020 to Jan 2024)  | Technical Lead at Wipro (Apr 2018 to May 2020)  | Cloud Engineer at Softtek (May 2016 to Apr 2018)  | Database Engineer at Marlabs Software (Nov 2014 to May 2016),DevOps|Amazon Web Services (AWS)|Docker Products,No,,,,,Do you have 5+ of professional experience in DevOps?,TRUE,"Have you worked with Amazon Web Services (AWS) extensively, including services such as EC2, ECS, etc.?",TRUE,Describe your experience with incident response and performance monitoring in a DevOps environment. How have you contributed to ensuring high availability and reliability of systems?,"I worked with multiple monitoring and incident management tools such as cloudwatch,datadog,new relic,splunk,pager duty",Do you currently live in Latin Amerca?,TRUE,,,,,,
Candidate 39,Sr Software Engineer (Obj-C & iOS exp),Engineering,Brazil,,2024-08-15 13:26:16,Applied,,linkedin.com free,ManualCandidate,,Objective-C|AWS|Swift|Terraform,Bachelor of Computer Science Computer Science at Federal University of Pelotas (N/A to N/A)  | Master Computer Science at Mackenzie Presbyterian University (N/A to N/A),Software Engineer at BRQ IT Solutions (Jan 2017 to Dec 2017)  | Senior Software Engineer at IBM (Jan 2017 to Dec 2020)  | Developer at Brave (Jan 2015 to Dec 2017)  | Staff Software Engineer at PicPay (N/A to N/A)  | Senior Software Engineer at Uber (N/A to N/A),iOS|Objective-C|Swift (Programming Language)|SQL,Yes,2024-08-20 11:46:28,,,,Do you have 5+ years of professional experience as a fullstack developer?,TRUE,"Describe your experience with Objective-C. And, when did you last use it?",On the beggining of my career,Are you familiar with Ruby on Rails? Please describe your experience,No,Have you worked in the orthodontal industry? Do you have experience with orthodental systems?,FALSE,Which databases have you worked with? List them,"Mysql, Postgresql, Mongo",Are you currently living in Latin America?,TRUE,,
Candidate 40,Senior DevOps Engineer - AWS,Engineering,Mexico,Cloud Engineer at McKinsey & Company,2024-08-15 11:26:54,Applied,,startup.jobs,ManualCandidate,,,Bachelor'S Law and Political Sciences at University of Dschang (N/A to N/A),Cloud Engineer at McKinsey (Nov 2022 to N/A)  | Cloud Engineer at  (May 2020 to Oct 2022),,Yes,2024-08-15 13:00:34,Rejected candidate,Doesn't have required qualifications,,Do you have 5+ of professional experience in DevOps?,TRUE,"Have you worked with Amazon Web Services (AWS) extensively, including services such as EC2, ECS, etc.?",TRUE,Describe your experience with incident response and performance monitoring in a DevOps environment. How have you contributed to ensuring high availability and reliability of systems?,I will describe at the time of interviw.,Do you currently live in Latin Amerca?,TRUE,,,,,,
Candidate 41,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-15 0:09:58,Applied,,linkedin.com free,ManualCandidate,,ruby|ruby on rails|postgresql|React,,Software Engineer at Pagerduty (Sep 2023 to May 2024)  | Software Engineer at Potloc (Jan 2023 to Jul 2023)  | Software Engineer at AgendaPro (Jul 2021 to Dec 2022)  | Software Engineer at Optimal Workshop (Mar 2020 to Jun 2021)  | Software Engineer at Globant (Jun 2019 to Mar 2020)  | Software Engineer at AgendaPro (Oct 2018 to May 2019)  | Software Engineer at Buda.com (Oct 2017 to Sep 2018)  | Software Engineer at Groupon (Dec 2014 to May 2017)  | Software Engineer at Groupon (Sep 2012 to Dec 2012)  | Software Developer at Sumavisos (May 2012 to Sep 2012)  | Software Developer at Aycron (Sep 2011 to May 2012)  | Software Developer at Maypun (Jun 2011 to Sep 2011)  | Software Developer at Onuva (Jan 2011 to Mar 2011)  | Software Developer at SAIME (May 2010 to Dec 2010)  | Software Developer at Infoguía (Feb 2010 to Apr 2010)  | Information Technology Consultant at Essplan (Sep 2008 to Feb 2010),Git|Ruby|PostgreSQL|Ruby on Rails|Amazon Web Services (AWS)|React.js,Yes,2024-08-16 9:55:38,,,,Do you have 4+ years of professional experience as a Software Engineer?,TRUE,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),TRUE,,,Describe your experience with either Golang or Rust.,basic,,,Do you have an experience in a startup environment? Tell us about your experience.,yes,Are you located in Latin America?,TRUE
Candidate 42,Senior DevOps Engineer - AWS,Engineering,Mexico,,2024-08-14 16:28:03,Applied,,jobgether.com,ManualCandidate,,,Bachelor Computer Science at University of Buea (N/A to N/A),Aws Cloud Engineer at Verizon Wireless Systems (Aug 2020 to N/A)  | Aws Cloud Engineer at Hartford Financial Service Group (Mar 2018 to Jul 2020),,Yes,2024-08-15 13:00:34,Rejected candidate,Doesn't have required qualifications,,Do you have 5+ of professional experience in DevOps?,TRUE,"Have you worked with Amazon Web Services (AWS) extensively, including services such as EC2, ECS, etc.?",TRUE,Describe your experience with incident response and performance monitoring in a DevOps environment. How have you contributed to ensuring high availability and reliability of systems?,"In my DevOps experience, I've actively managed incident response and performance monitoring to ensure system reliability and availability. I’ve implemented and configured monitoring tools like Prometheus and Grafana for real-time metrics and alerting, which allows for early detection of issues and proactive response. During incidents, I’ve followed established runbooks to quickly diagnose and resolve problems, minimizing downtime. Additionally, I’ve conducted post-incident analyses to identify root causes and improve response strategies. My focus on automation, robust alerting mechanisms, and continuous performance tuning has been key in maintaining high availability and ensuring system resilience.",Do you currently live in Latin Amerca?,TRUE,,,,,,
Candidate 43,Senior DevOps Engineer - AWS,Engineering,Mexico,Full Stack Developer at BlackBaud,2024-08-14 16:18:56,Applied,,Careers page,ManualCandidate,,,Master'S Computer Science at Stetson University (Jan 2013 to Dec 2015)  | Bachelor of Computer Science  at University of Central Florida (Jan 2007 to Dec 2011),Full Stack Developer at BlackBaud (Apr 2020 to N/A)  | Senior Software Engineer at  (Jun 2017 to Mar 2020)  | Associate Software Engineer at Alteryx (Aug 2014 to May 2017)  | Junior Full Stack Developer at OneTrust (Jan 2012 to Jul 2014)  | Software Developer Intern at Epic (Jun 2010 to Dec 2011),,Yes,2024-08-14 16:18:58,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin Amerca? No,Do you have 5+ of professional experience in DevOps?,TRUE,"Have you worked with Amazon Web Services (AWS) extensively, including services such as EC2, ECS, etc.?",TRUE,Describe your experience with incident response and performance monitoring in a DevOps environment. How have you contributed to ensuring high availability and reliability of systems?,"Senior Software Engineer
TECHNICAL SKILLS Programming: Ruby on Rails,
Python/Django/FastAPI, Node.js, Microservices, SQL, and NoSQL.
Frontend Engineering: Skilled in ReactJS, NextJS, AmberJS, AngularJS, Hotwire, Turbo, and Svelte.
PROFESSIONAL EXPERIENCE
DevOps Expertise: AWS, Azure, DigitalOcean, CI/CD pipelines (Codeship, CircleCI, GitHub Actions), RabbitMQ.
Performance Optimization:
Speciality in improving CPU and memory-heavy apps, achieving 30-60% resource savings and cost reductions.
April 2020 - Present
 Technologies: Ruby on Rails, React, AWS, Git, Docker, Kubernetes
E-commerce Platform Development: Led the full-stack development of an e-commerce platform, implementing key features such as product listings, shopping cart, and checkout process, which increased online sales by 20%.
API Design: Designed and implemented RESTful APIs, facilitating seamless integration with frontend applications and third-party services.
Containerization and Deployment: Utilized containerization technologies (Docker) for efficient deployment and scalability on AWS, ensuring high availability and performance.
Mentorship and Code Reviews: Mentored junior developers, conducted regular code reviews, and enforced coding standards and best practices.
CI/CD Pipelines: Implemented CI/CD pipelines using Jenkins and Docker, reducing deployment time by 30% and improving release efficiency.",Do you currently live in Latin Amerca?,FALSE,,,,,,
Candidate 44,Lead Generator,Engineering,Colombia,,2024-08-14 12:26:51,Applied,,linkedin.com free,ManualCandidate,,,Bachelor'S Management and Simulation at Business. El Bosque University (N/A to Dec 2020),,Microsoft Excel|English|Communication,Yes,2024-08-16 10:33:24,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",10,Please describe your experience as lead generator or sales development representative.,Excellent.,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",TRUE,Do you currently live in Latin America?,TRUE,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,3,,
Candidate 45,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-14 12:26:48,Applied,,Careers page,ManualCandidate,,ruby|ruby on rails|postgresql|React,Bachelor'S Software Engineering at Cleveland State University (N/A to N/A),Full Stack Developer at YELP (Jan 2015 to Jun 2018)  | Software Engineer at CARTA (Jan 2006 to Dec 2010),,Yes,2024-08-14 12:26:49,Rejected candidate,Doesn't have required qualifications,Are you located in Latin America? No,Do you have 4+ years of professional experience as a Software Engineer?,TRUE,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),TRUE,,,Describe your experience with either Golang or Rust.,N/A,,,Do you have an experience in a startup environment? Tell us about your experience.,Yes I do,Are you located in Latin America?,FALSE
Candidate 46,Lead Generator,Engineering,Colombia,Lead Generator at Vesti Technology,2024-08-14 9:23:21,Applied,,unknown,ManualCandidate,,,Bachelor of Arts English Language at Obafemi Awolowo University (Dec 2012 to Dec 2016),Lead Generator at Vesti Technology (Sep 2023 to N/A)  | Lead Generator at Hotbox Technology (Jan 2023 to Jan 2024)  | Sales Associate at Shtudy (Sep 2019 to Jan 2023)  | Marketing at Starrycare UK (Jan 2017 to Jun 2019),,Yes,2024-08-14 9:23:22,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin America? No,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",9,Please describe your experience as lead generator or sales development representative.,"In my role as a Lead Generator and Sales Development Representative, I have honed my ability to identify, qualify, and nurture leads to drive business growth. My experience includes conducting extensive market research to uncover potential prospects, targeting the right industries, and identifying key decision-makers within organizations.

I have a strong background in outreach, utilizing a mix of cold calling, email campaigns, and social media engagement to connect with potential leads. My approach is tailored to each prospect, ensuring that my communication is relevant and resonates with their specific needs. Through this targeted outreach, I have consistently generated high-quality leads that align with the company's ideal customer profile.

In addition to prospecting, I have excelled in lead qualification, evaluating prospects based on their level of interest, budget, and decision-making authority. I meticulously document and update lead information in CRM systems, allowing for seamless tracking and reporting. My collaboration with sales teams has been integral in converting qualified leads into customers, and I actively participate in strategy meetings to refine our approach based on real-time feedback and market dynamics.

Throughout my career, I have consistently met or exceeded lead generation targets, contributing to overall sales success. My results-driven mindset, coupled with a deep understanding of B2B sales processes, has enabled me to play a key role in driving revenue and business growth.","The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",TRUE,Do you currently live in Latin America?,FALSE,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,5,,
Candidate 47,QA Engineer - Manual,Engineering,Chile,,2024-08-14 8:04:35,Applied,,linkedin.com free,ManualCandidate,,,Computer Engineering at Distance State University (Jan 2013 to Dec 2015)  | Bachelor Information Systems Engineering at National University of Costa Rica (Jan 2007 to Dec 2011),Quality Assurance Engineer at Moduscreate (Jan 2019 to N/A)  | Automation Engineer at Securelink (Jan 2016 to Jan 2019)  | Quality Assurance Software Engineer at Ex2 Outcoding (Jan 2015 to Dec 2015)  | Quality Assurance Tech Analyst at Accenture (Jan 2012 to Jan 2014)  | Information Technology Consultant at Lanshire (Jan 2011 to Jan 2012)  | Software Developer at Netsoft (Jan 2011 to Jun 2011)  | System Engineer at Office of International Technical Cooperation (Jan 2010 to Jan 2011),Software Development|Quality Assurance|REST APIs|Object-Oriented Programming (OOP)|QA Automation,Yes,2024-08-14 8:56:04,,,,How many years of experience do you have as a QA Manual Engineer?,10,"Have you ever worked in a start-up environment? If so, how was your experience?","I have, it's a fast-paced environment in which I feel confident to help grow and develop processes","Do you have any certifications? If so, please share the names.","ISTQB Foundation Level, working on Managar one",Do you currently live in Latin America?,TRUE,,,,,,
Candidate 48,QA Engineer - Manual,Engineering,Chile,,2024-08-14 6:59:55,Applied,,linkedin.com free,ManualCandidate,,,"Bachelor Electronics, Communication and Engineering at University of Calicut (Jan 2010 to Dec 2014)  | Aisse  at CBSE India (N/A to Dec 2008)  |   at AISSCE (Class XII (N/A to Dec 2010)",Associate System Engineer at IBM India (Jan 2015 to Dec 2019),,Yes,2024-08-14 6:59:58,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin America? No,How many years of experience do you have as a QA Manual Engineer?,6,"Have you ever worked in a start-up environment? If so, how was your experience?",Good,"Do you have any certifications? If so, please share the names.",ISTQB FL,Do you currently live in Latin America?,FALSE,,,,,,
Candidate 49,QA Engineer - Manual,Engineering,Chile,,2024-08-14 0:29:29,Applied,,linkedin.com free,ManualCandidate,,,Bachelor of Science Information Technology at University of Moratuwa (Jan 2005 to Dec 2009)  | Certificate Quality Assurance at ISTQB (N/A to N/A),Associate at Wiley Global Technology (Jun 2022 to N/A)  | Senior Quality Assurance Engineer at Intrepid Group (Sep 2020 to Jun 2022)  | Senior Quality Assurance Engineer at  (Mar 2013 to Apr 2020)  | Quality Assurance Engineer at Allion Technologies (Pvt) (Sep 2011 to Mar 2013)  | Associate Software Quality Assurance Engineer at Virtusa (Pvt) (Jul 2010 to Aug 2011),Quality Assurance|Agile Methodologies|Product Quality,Yes,2024-08-14 0:29:33,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin America? No,How many years of experience do you have as a QA Manual Engineer?,14,"Have you ever worked in a start-up environment? If so, how was your experience?",7,"Do you have any certifications? If so, please share the names.","BSc in Information Technology
ISTQB",Do you currently live in Latin America?,FALSE,,,,,,
Candidate 50,QA Engineer - Manual,Engineering,Chile,,2024-08-13 19:49:54,Sourcer Screening,,unknown,ManualCandidate,,,Bachelor of Engineering Informatics at Universidad Mayor (N/A to N/A)  | Certificate Development at Laboratoria (N/A to N/A),General Operations Consultant at Inter-American Development Bank (Jul 2022 to Jul 2023)  | Quality Assurance at Routing (Sep 2021 to Jun 2022)  | Quality Assurance Automation Engineer at The Optimal Partner (N/A to N/A),,Yes,2024-08-14 15:17:36,Rejected candidate,Job no longer receiving applications,,How many years of experience do you have as a QA Manual Engineer?,3,"Have you ever worked in a start-up environment? If so, how was your experience?","Yes, it's been an experience full of self learning and collaborative work betweed different teams.","Do you have any certifications? If so, please share the names.","Laboratoria, Front End Development Certificate
SCRUMstudy, Scrum Fundamentals Certified
University of London, Introduction to Computer Programming",Do you currently live in Latin America?,TRUE,,,,,,
Candidate 51,Lead Generator,Engineering,Colombia,,2024-08-13 17:22:19,Sourcer Screening,applied,linkedin.com,ManualCandidate,,,,Sales Development Representative at TRINITYLOGISTICS (Jan 2021 to N/A)  | Business Development Representative at ALLIED LOGISTICS PARTNERS (Jan 2018 to Dec 2021),,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",8.5,Please describe your experience as lead generator or sales development representative.,"Throughout my experience as a SDR I’ve learned to managed the task required to develop strong relationship with new and existing leads by building trust and use it as a foundation as well as understanding their needs, consistent communication, providing value to interactions and most important transparency.","The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",TRUE,Do you currently live in Latin America?,TRUE,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,3,,
Candidate 52,Senior DevOps Engineer - AWS,Engineering,Mexico,,2024-08-13 16:59:21,Applied,,startup.jobs,ManualCandidate,,,Bachelor of Science Computer Science at University of Buea (N/A to N/A),,,Yes,2024-08-13 16:59:23,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin Amerca? No,Do you have 5+ of professional experience in DevOps?,TRUE,"Have you worked with Amazon Web Services (AWS) extensively, including services such as EC2, ECS, etc.?",TRUE,Describe your experience with incident response and performance monitoring in a DevOps environment. How have you contributed to ensuring high availability and reliability of systems?,"I was part of a DevOps team responsible for managing a high-traffic e-commerce platform hosted on AWS. The platform supported thousands of users simultaneously and was critical to the company’s revenue generation. Ensuring high availability, performance, and security was paramount, especially during peak shopping seasons. One evening, during a flash sale event, we began receiving alerts from our monitoring system (Prometheus and CloudWatch) about unusually high latency and sporadic 500 errors on the platform. This was a major issue as it directly impacted user experience and sales. We manually scaled the affected service to handle the increased load and adjusted the auto-scaling configuration to prevent future occurrences. Additionally, a temporary rate limit was applied to manage incoming requests and protect the backend. Throughout the incident, I maintained communication with stakeholders, providing updates on progress and expected resolution times. Once the issue was mitigated, I documented the incident for a post-mortem review. After the incident, I took a proactive approach to avoid similar issues in the future.  I implemented more granular monitoring using Grafana dashboards linked to Prometheus, tracking metrics like CPU utilization, memory usage, response times, and request rates for all critical services. We set up alert thresholds that were more sensitive to early signs of stress. I worked with the team to update our disaster recovery plan, including regular backups of critical data and automated failover procedures. We conducted DR drills to ensure that the team could restore services quickly in the event of a failure. Given the sensitive nature of user data, I also reviewed and tightened security policies, particularly around AWS IAM roles and permissions. This reduced the attack surface and ensured compliance with industry standards. As a result of these efforts, the platform became more resilient and performed better under load. Subsequent flash sales were handled without incident, and the improvements in performance and reliability contributed to a significant increase in user satisfaction and revenue. My proactive monitoring and incident response strategies ensured that the platform remained highly available and secure, even during peak demand.",Do you currently live in Latin Amerca?,FALSE,,,,,,
Candidate 53,QA Engineer - Manual,Engineering,Chile,,2024-08-13 16:43:35,Applied,,linkedin.com free,ManualCandidate,,,Education Digital Business and Administration at Dropped - Argentinean Business School (Jan 2023 to Dec 2023),Quality Assurance Engineer at Coder house (Jan 2020 to Dec 2021)  | Analista Qa Sr at CPA ASSURE (Jan 2019 to Dec 2019)  | Analista Qa at JR (Jan 2018 to Dec 2019)  | Product at Coder House (N/A to N/A),Quality Assurance|JavaScript|Microsoft Azure|QA Automation|React.js,Yes,2024-08-14 8:56:33,,,,How many years of experience do you have as a QA Manual Engineer?,4,"Have you ever worked in a start-up environment? If so, how was your experience?","Yes, i've worked in major startups like RAPPI. where i started as a delivery guy, and ended working as operational manager for CPGS vertical","Do you have any certifications? If so, please share the names.",No i don't,Do you currently live in Latin America?,TRUE,,,,,,
Candidate 54,QA Engineer - Manual,Engineering,Chile,,2024-08-13 15:55:45,Applied,,linkedin.com free,ManualCandidate,,,Bachelor of Science Computer Science at Mount Royal University (N/A to Nov 2013),Quality Assurance Engineer at HCHK Technologies (Nov 2021 to N/A)  | Quality Assurance Analyst at Markit (Feb 2015 to Nov 2021)  | Software Test Engineer at CareFirst (Jun 2014 to Jan 2015)  | Software Test Engineer at JP Morgan Chase (Jan 2014 to May 2014),,Yes,2024-08-13 15:55:46,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin America? No,How many years of experience do you have as a QA Manual Engineer?,10,"Have you ever worked in a start-up environment? If so, how was your experience?",Yes,"Do you have any certifications? If so, please share the names.",N/A,Do you currently live in Latin America?,FALSE,,,,,,
Candidate 55,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-13 13:40:10,Sourced,,Uploaded,UploadedCandidate,,ruby|ruby on rails|postgresql|Golang|React,Bacharelado  at Pontifical Catholic University of Minas Gerais (Jan 2015 to Dec 2019),Senior Software Engineer at março de (Jan 2024 to N/A)  | Software Engineer at Ateliê de Software (N/A to N/A)  | Ruby on Rails Developer at Poços de Caldas (N/A to N/A)  | Assistente Técnico Em Redes at Botelhos (N/A to N/A)  | Software Engineer at Delivery Center (N/A to N/A)  | Desenvolvedor Web Júnior at Poços de Caldas (N/A to N/A)  | Desenvolvedor Full Stack at Poços de Caldas Area (N/A to N/A)  | Software Engineer at Sofi (N/A to N/A)  | Customer Support Analyst at Poços de Caldas (N/A to N/A),,Yes,2024-08-20 16:04:07,Candidate withdrew,Could not be contacted,,Do you have 4+ years of professional experience as a Software Engineer?,,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),,,,Describe your experience with either Golang or Rust.,,,,Do you have an experience in a startup environment? Tell us about your experience.,,Are you located in Latin America?,
Candidate 56,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-13 13:40:09,Sourced,,Uploaded,UploadedCandidate,,ruby|ruby on rails,"Computer Science at Universidade do Vale do Rio dos Sinos (Jan 2020 to Jan 2023)  |  E-Business and Revolution at California State University, Northridge (Jan 2018 to Jan 2018)  |  Ciencia Da Computação, Ciência Da Computação at University of Caxias do Sul (Jan 2017 to Jan 2019)",Software Engineer at Red Hat (Mar 2021 to N/A)  | Software Engineer at HP (Jan 2020 to Mar 2021)  | Embedded Software Engineer at Luminator Technology Group (Dec 2018 to Dec 2019)  | Accounting Assistant at Escritório Confidenza (Apr 2013 to Nov 2018)  | Computer Maintenance at EBI Informática (Feb 2011 to Mar 2013),,Yes,2024-08-20 16:04:07,Candidate withdrew,Could not be contacted,,Do you have 4+ years of professional experience as a Software Engineer?,,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),,,,Describe your experience with either Golang or Rust.,,,,Do you have an experience in a startup environment? Tell us about your experience.,,Are you located in Latin America?,
Candidate 57,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-13 13:40:09,Sourced,,Uploaded,UploadedCandidate,,ruby|ruby on rails,Bacharel Sistemas De Informação at Universidade de Vila Velha - UVV (Jan 2005 to Dec 2008)  | Iftl  at São Paulo State Technological College (N/A to N/A),Líder Técnico at Bio Ritmo Academia (Oct 2018 to N/A)  | Proprietário at Vixbiz (N/A to N/A)  | Professor at Escola Contec (N/A to N/A)  | Analista De Sistemas at Netsimples (N/A to N/A),,Yes,2024-08-20 16:04:07,Candidate withdrew,Could not be contacted,,Do you have 4+ years of professional experience as a Software Engineer?,,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),,,,Describe your experience with either Golang or Rust.,,,,Do you have an experience in a startup environment? Tell us about your experience.,,Are you located in Latin America?,
Candidate 58,QA Engineer - Manual,Engineering,Chile,12510 Cliff Edge Drive,2024-08-13 12:26:31,Applied,,startup.jobs,ManualCandidate,,,Bachelor'S Science and Computer Science at Virginia Commonwealth University (N/A to May 2019),Quality Assurance Analyst Remote at Take2 It Consulting (Aug 2023 to N/A)  | Program Analyst Remote at CSSI (Jun 2023 to Jul 2023)  | Quality Assurance Analyst Remote at Take2 It Consulting (Oct 2021 to Jun 2023)  | Application Support Specialist Remote at Fannie Mae (Jul 2020 to Dec 2020),,Yes,2024-08-13 12:26:34,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin America? No,How many years of experience do you have as a QA Manual Engineer?,4,"Have you ever worked in a start-up environment? If so, how was your experience?",N/A,"Do you have any certifications? If so, please share the names.",Scrum Master Certificate,Do you currently live in Latin America?,FALSE,,,,,,
Candidate 59,Lead Generator,Engineering,Colombia,,2024-08-13 11:58:52,Applied,,linkedin.com free,ManualCandidate,,,,Tutors at Diploma in Management of Sports Entities (Jan 2023 to Jan 2024)  | Operations Coordinator at Pereira (Nov 2021 to Apr 2024),Microsoft Excel|Communication|Oral Communication|Interpersonal Skills|Business-to-Business (B2B)|Sales Processes,Yes,2024-08-15 9:58:20,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",6,Please describe your experience as lead generator or sales development representative.,Good,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",TRUE,Do you currently live in Latin America?,TRUE,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,2,,
Candidate 60,QA Engineer - Manual,Engineering,Chile,Junior SQA Engineer at Workpay,2024-08-13 11:33:13,Applied,,startup.jobs,ManualCandidate,,,Bachelor Accounting at Catholic University of Eastern Africa (N/A to Dec 2013),Junior Sqa Engineer at Workpay (Jan 2023 to N/A)  | Mckinsey Forward Program at McKinsey Academy (N/A to N/A)  | Certified Public Accountant at Kenya Accountants and Secretaries National (N/A to N/A)  | Software Quality Assurance Intern at Workpay (N/A to N/A)  | Software Quality Assurance Intern at Portnov Computer School (N/A to N/A),,Yes,2024-08-13 11:33:14,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin America? No,How many years of experience do you have as a QA Manual Engineer?,1,"Have you ever worked in a start-up environment? If so, how was your experience?",It's not really a start-up small but growing company. Get to step out of my comfort zone. Got to think outside the box and work on multiple projects at the same time,"Do you have any certifications? If so, please share the names.",Not applicable,Do you currently live in Latin America?,FALSE,,,,,,
Candidate 61,QA Engineer - Manual,Engineering,Chile,,2024-08-13 9:45:42,Applied,,startup.jobs,ManualCandidate,,,Software Engineering at University Center of Belo Horizonte (N/A to N/A)  | Master of Business Administration International Business Administration at University Center of Belo Horizonte (N/A to N/A),Quality Assurance Analyst at  (Nov 2023 to N/A)  | Quality Assurance Automation Engineer at Acrelec (May 2022 to Oct 2023)  | Quality Assurance Engineer at Avaya (Aug 2021 to Mar 2022)  | Quality Assurance Analyst at Vetta SMS Group (Nov 2020 to Aug 2021)  | Quality Assurance Analyst at TOTVS (Mar 2020 to Nov 2020)  | Test Automation Engineer at Unisys (Apr 2019 to Feb 2020)  | Test Engineer at Ericsson (Jan 2018 to Feb 2019)  | Tester at Appen (Jul 2017 to Jan 2018)  | Tester at Lionbridge (Feb 2015 to Jun 2017)  | Test Analyst at Squadra Tecnologia (Sep 2012 to Jan 2015)  | Test Analyst at IBM (Jan 2008 to Aug 2012)  | Trainee Php Developer at 2XT Tecnologia (May 2007 to Dec 2007),,Yes,2024-08-14 8:56:39,,,,How many years of experience do you have as a QA Manual Engineer?,16,"Have you ever worked in a start-up environment? If so, how was your experience?","Yes, fast paced environment. My experience is positive.","Do you have any certifications? If so, please share the names.","ASTC - Accredited Software Tester Certification.
Scrum Fundamentals Certified Credentials.",Do you currently live in Latin America?,TRUE,,,,,,
Candidate 62,QA Engineer - Manual,Engineering,Chile,,2024-08-13 8:30:53,Applied,,linkedin.com free,ManualCandidate,,,Bachelor of Science Computer Application at Aligarh Muslim University (N/A to Dec 2013),Luxury Cosmetics Brand at KamaAyurveda (Feb 2021 to Jun 2023),,Yes,2024-08-13 8:30:56,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin America? No,How many years of experience do you have as a QA Manual Engineer?,4,"Have you ever worked in a start-up environment? If so, how was your experience?",3,"Do you have any certifications? If so, please share the names.",No,Do you currently live in Latin America?,FALSE,,,,,,
Candidate 63,Lead Generator,Engineering,Colombia,,2024-08-13 7:17:44,Applied,,linkedin.com free,ManualCandidate,,,Bachelor'S Environmental Sciences at Polytechnic University of Valencia (N/A to Dec 2019)  | Bachelor'S Environmental Engineering at Sergio Arboleda University (N/A to Dec 2022),Marketing Coordinator at Maria Soto Mortgage. Real Estate (Mar 2024 to N/A)  | Marketing Analyst at SEOS Energy. Residential Solar Energy Fintech (Oct 2022 to N/A)  | Sales Representative at Sunrun (Sep 2019 to Jun 2022),Sales|Communication|Customer Relationship Management (CRM),Yes,2024-08-15 9:57:49,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",8,Please describe your experience as lead generator or sales development representative.,"I have experience as a Marketing Analyst and Coordinator, where I was responsible for generating new leads across various channels, optimizing campaigns for better performance, and implementing automation strategies to enhance efficiency and results. I also have experience as a Sales Representative for a U.S. based company, where I was responsible for actively listening to customers, understanding their needs, and providing tailored solutions.","The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",TRUE,Do you currently live in Latin America?,TRUE,How many years of experience do you have as a Lead Generator?,,How many years of experience do you have as a Lead Generator?,3,,
